te_ev,pressure_torr,radius_m,lambda_m,n_ar0,k_iz,nu_ion,nu_wall,dnu,rel_dnu,p_lambda_torr_cm,ne_sub_lo,ne_sub_hi,alpha_sub_hi,n_ar_star,f_star,ne_star,alpha_star,C_wall,C_Te,C_Ar,dlnk_dlnTe,ne_ref,nu_RR,nu_3b,class
0.7,0.5,0.2,0.06271313410453205,1.619401315476905e+22,5.373863966283572e-24,0.08702442376193556,45.32811307999213,-45.24108865623019,0.9980801225145118,3.1356567052266024,26.645247086362794,133.226235431814,8.226882006241892e-21,3.6958788771520804e+23,-21.822501388815187,nan,nan,nan,nan,nan,nan,133.226235431814,4.7003477549287514e-17,8.835646505362494e-34,extinction
0.7,1.0,0.005,0.002078509543367318,3.23880263095381e+22,5.373863966283572e-24,0.17404884752387112,20632.440898969544,-20632.26685012202,0.9999915643113495,0.20785095433673179,0.11685191883742713,0.5842595941871357,1.8039370124108933e-23,1.115126694494013e+25,-343.302145439969,nan,nan,nan,nan,nan,nan,0.5842595941871357,2.0613231792762175e-19,1.699301831024333e-38,extinction
0.7,1.0,0.01,0.004154068068337296,3.23880263095381e+22,5.373863966283572e-24,0.17404884752387112,5165.441392455812,-5165.267343608288,0.9999663051355536,0.4154068068337296,0.4667560865723567,2.3337804328617837,7.205688949852736e-23,5.579594360130885e+24,-171.27336753421508,nan,nan,nan,nan,nan,nan,2.3337804328617837,8.233798382536174e-19,2.7113077063214243e-37,extinction
0.7,1.0,0.02,0.008284653061723664,3.23880263095381e+22,5.373863966283572e-24,0.17404884752387112,1298.6915158273791,-1298.5174669798553,0.9998659813778694,0.8284653061723664,1.8566711905770605,9.283355952885303,2.866292581141755e-22,2.797704936224846e+24,-85.38084054541282,nan,nan,nan,nan,nan,nan,9.283355952885303,3.2752558961017523e-18,4.290113932560396e-36,extinction
0.7,1.0,0.05,0.020314161161742474,3.23880263095381e+22,5.373863966283572e-24,0.17404884752387112,216.00155037141772,-215.82750152389386,0.9991942240820745,2.031416116174247,11.170587410685881,55.852937053429415,1.7244933828209537e-21,1.140978186652648e+24,-34.22839507872809,nan,nan,nan,nan,nan,nan,55.852937053429415,1.970544513506331e-17,1.5529263217354751e-34,extinction
0.7,1.0,0.1,0.038122848105260086,3.23880263095381e+22,5.373863966283572e-24,0.17404884752387112,61.3315553062804,-61.15750645875653,0.9971621647836143,3.8122848105260085,39.42148905348971,197.10744526744858,6.0858121882345605e-21,6.079822447079062e+23,-17.77182137921318,nan,nan,nan,nan,nan,nan,197.10744526744858,6.95413733518552e-17,1.93403744402537e-33,extinction
0.7,1.0,0.2,0.06271313410453205,3.23880263095381e+22,5.373863966283572e-24,0.17404884752387112,22.664056539996064,-22.490007692472194,0.9923204900580476,6.271313410453205,107.19960634827059,535.9980317413531,1.654926504686408e-20,3.6958788771520804e+23,-10.411250694407594,nan,nan,nan,nan,nan,nan,535.9980317413531,1.8910518164653322e-16,1.43016191858204e-32,extinction
0.7,2.0,0.005,0.002078509543367318,6.47760526190762e+22,5.373863966283572e-24,0.34809769504774224,10316.220449484772,-10315.872351789723,0.9999662572453979,0.41570190867346357,0.4674195044657219,2.3370975223286097,3.6079653326086546e-23,1.115126694494013e+25,-171.1510727199845,nan,nan,nan,nan,nan,nan,2.3370975223286097,8.245501388312595e-19,2.7190205499232114e-37,extinction
0.7,2.0,0.01,0.004154068068337296,6.47760526190762e+22,5.373863966283572e-24,0.34809769504774224,2582.720696227906,-2582.3725985328583,0.9998652205422149,0.8308136136674592,1.8672130991262297,9.33606549563115,1.4412834864348817e-22,5.579594360130885e+24,-85.13668376710754,nan,nan,nan,nan,nan,nan,9.33606549563115,3.2938523219562954e-18,4.3389695212727525e-36,extinction
0.7,2.0,0.02,0.008284653061723664,6.47760526190762e+22,5.373863966283572e-24,0.34809769504774224,649.3457579136896,-648.9976602186418,0.9994639255114777,1.6569306123447327,7.429672306030743,37.14836153015372,5.734891217995233e-22,2.797704936224846e+24,-42.19042027270641,nan,nan,nan,nan,nan,nan,37.14836153015372,1.3106293752997789e-17,6.869705932879374e-35,extinction
